custom_id,clickup_task_name,clickup_selected_customer,clickup_market,clickup_owner_country,clickup_webpage,clickup_tax_id,clickup_sales_email,clickup_finance_email,clickup_operations_email,clickup_contact_email_1,clickup_contact_phone_number,clickup_contact_phone_1,clickup_contact_name_1,clickup_sales_contact,clickup_needs_credit,bc_customer_number,bc_customer_id,bc_display_name,bc_email,bc_phone,bc_website,bc_country,bc_currency,bc_tax_id,bc_payment_terms_id,bc_payment_method_id,bc_salesperson_code,bc_blocked,bc_credit_limit,name_exact_match,email_exact_match,phone_exact_match,tax_exact_match,website_exact_match
MTM-2021335,RTA,RTA Products LLC,MX,Mexico,https://smartfurniture.com/rta-products-llc/,,,,,RTAoperations@rtaproducts.com,+1 954 499 9149,+1 954 499 9149,Isaac Fregoso / Juddy Dickinson,,,C00013,4d46f2c2-9a40-ee11-bdf5-002248a8cade,RTA PRODUCTS LLC,,954 4999149,,US,USD,161626476,d0e9f8bc-9a40-ee11-bdf5-002248a8cade,10cfcbb2-9c40-ee11-bdf5-002248a8cade,VTS20240002,_x0020_,0,True,False,False,False,False
MTM-2021350,"BIORGANI - GIAI INNOVATION, SOCIEDAD ANONIMA",BIORGANI,GT,Guatemala,https://biorgani.tech/,,operaciones@biorgani.tech,,,operaciones@biorgani.tech,,+502 5950 9758,Magdalena Perez,Magdalena Perez,,C00025,19fead04-4a2f-ef11-840b-002248aacf11,"GIAI INNOVATIONS, SOCIEDAD ANONIMA",operaciones@biorgani.tech,50401010,,GT,USD,96271256,5e90db8f-3d53-ee11-be6d-002248a4a9b0,e92f1f10-6e6f-ee11-8df1-000d3a740a80,VTS20240001,_x0020_,0,False,True,False,False,False
MTM-2022700,"AFFIMEX Cored Wire, S DE RL DE CV",AFFIMEX,MX,Mexico,https://optagroupllc.com/es/about/,,,,,impo-expo@affimex.com.mx,,+52 314 334 1708,Jesica,,,C00066,e0b56433-1ed8-ef11-8eec-002248ad49ec,AFFIMEX CORED WIRE,impo-expo@affimex.com.mx,314 177 0000,,MX,USD,ACW080404A37,d0e9f8bc-9a40-ee11-bdf5-002248a8cade,10cfcbb2-9c40-ee11-bdf5-002248a8cade,,_x0020_,0,False,True,False,False,False
MTM-2025188,"ALCANCE INTEGRAL, S.A. - GRS",GRS,GT,Guatemala,http://www.grelectrodomesticos.com/,63226545,,,conta1gt@grs-electronics.com,gaguilar@grs-electronics.com,+502 2304 5555,,Gabriela Aguilar,,,C00001,b9a0dce7-c272-ee11-817a-002248a6dae3,"ALCANCE INTEGRAL, SOCIEDAD ANÓNIMA",gaguilar@grs-electronics.com,50376077032,,GT,USD,63226545,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,e92f1f10-6e6f-ee11-8df1-000d3a740a80,VTS20240001,_x0020_,0,False,False,False,True,False
MTM-2027518,Espacios Dinámicos,Espacios Dinámicos,MX,Mexico,https://www.smartspace.mx/,,,,,violeta@smartspace.mx,+52 55 5414 2159,+52 55 5414 2159,Violeta Altamirano,,,4,d7f66bfd-816e-ee11-8def-000d3a5f7ab0,ESPACIOS DINAMICOS,email@em.comx,123456789,,,MXN,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,_x0020_,0,True,False,False,False,False
MTM-2028308,"Instalaciones Modernas, S.A.",Instalaciones Modernas,GT,Guatemala,https://instalacionesmodernas.com/,,,,,jefecompras@instalacionesmodernas.com,,+502 2384 7600,Antulio Peña,,,C00076,5f74a618-1dbc-f011-bbd1-000d3a76dc0a,INSTALACIONES MODERNAS SOCIEDAD ANONIMA,jefecompras@instalacionesmodernas.com,23847601,,GT,USD,848468,d3e9f8bc-9a40-ee11-bdf5-002248a8cade,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,True,False,False,False
MTM-2029885,HOUSEHOLD SOLUTIONS - OSTER,Oster/Distelsa,GT,Guatemala,https://osterlineablanca.com/,,,,,sonia.diaz@osterlineablanca.com,,+504 2508 1999,Sonia Diaz,,,C00019,f123b974-65db-ee11-904c-002248a8bf91,HOUSEHOLD SOLUTION SA,sonia.diaz@osterlineablanca.com,504 25081999,,,USD,C56420,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,e92f1f10-6e6f-ee11-8df1-000d3a740a80,VTS20240001,_x0020_,0,False,True,True,False,False
MTM-2035549,TAGOMAGO DISTRIBUTION,TagoMago,MX,Mexico,,,,,,,,,,,,C00067,8b909179-aada-ef11-8eec-6045bdf6c3e6,TAGOMAGO DISTRIBUTION,,,,MX,USD,TDI240409V3A,d2e9f8bc-9a40-ee11-bdf5-002248a8cade,10cfcbb2-9c40-ee11-bdf5-002248a8cade,,_x0020_,0,False,False,False,False,False
MTM-2035554,Klasnic Insumos SA de CV,KLASNIC,MX,Mexico,,,,,,,,,,,,C00068,64a3dd3b-90e8-ef11-9345-000d3a76b7d6,KLASNIC INSUMOS,ventas1@klasnic.com.mx,5572611374,,MX,USD,KIN210301D23,5e90db8f-3d53-ee11-be6d-002248a4a9b0,10cfcbb2-9c40-ee11-bdf5-002248a8cade,,_x0020_,0,False,False,False,False,False
MTM-2035578,"DORAL IMPORTACIONES, S.A. (MOVESA) ",Movesa,GT,Guatemala,,,,,,contabilidad@movesa.com.gt,,,"Max Franco
contabilidad@movesa.com.gt",,,C00060,86a63586-f258-f011-8eed-6045bdf7d4cf,DORAL IMPORTACIONES SOCIEDAD ANONIMA,contabilidad@movesa.com.gt,,,GT,USD,43268536,d3e9f8bc-9a40-ee11-bdf5-002248a8cade,048ab4a4-33db-ee11-904c-002248a8bf91,,_x0020_,0,False,True,False,False,False
