batch_id,clickup_list_id,shipment_index,shipment_key,task_id,task_url,task_name,received_at,from_email,to_email,subject,shipper_name,shipper_email,customer_name,origin,pol,mother_pol,port_of_discharge,booking_number,number_of_containers,container_type,container_numbers,cargo_description,cargo_ready_date,etd,eta,initial_estatus_db,mode,error
ONE-EMAIL-SEED-20260429080000,901712832326,1,ONE-TT-0001,,,"EMAIL | ONE-TT-0001 | ONEYTT26000001 | Ningbo, China",2026-04-29T08:00:00-06:00,exports@ningbo-harbor-parts.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000001 - 1x 40 HC from Ningbo, China","Ningbo Harbor Precision Parts Co., Ltd.",exports@ningbo-harbor-parts.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000001,1,40 HC,ONEU2600016,"Auto spare parts, non-hazardous",2026-05-02T09:00:00-06:00,2026-05-05T18:00:00-06:00,2026-05-30T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,2,ONE-TT-0002,,,"EMAIL | ONE-TT-0002 | ONEYTT26000002 | Shekou, China",2026-04-29T08:00:30-06:00,shipping@apexhome-shenzhen.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000002 - 2x 40 DRY from Shekou, China",Shenzhen Apex Home Products Ltd.,shipping@apexhome-shenzhen.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000002,2,40 DRY,ONEU2600021; ONEU2610020,Household goods and retail fixtures,2026-05-03T09:00:00-06:00,2026-05-06T18:00:00-06:00,2026-06-01T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,3,ONE-TT-0003,,,"EMAIL | ONE-TT-0003 | ONEYTT26000003 | Yantian, China",2026-04-29T08:01:00-06:00,logistics@sunrise-machinery.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000003 - 3x 20GP from Yantian, China","Qingdao Sunrise Machinery Co., Ltd.",logistics@sunrise-machinery.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000003,3,20GP,ONEU2600037; ONEU2610035; ONEU2620033,Ceramic tiles and sanitary ware,2026-05-04T09:00:00-06:00,2026-05-07T18:00:00-06:00,2026-06-03T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,4,ONE-TT-0004,,,"EMAIL | ONE-TT-0004 | ONEYTT26000004 | Qingdao, China",2026-04-29T08:01:30-06:00,docs@blueocean-ceramics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000004 - 4x 40 DRY from Qingdao, China",Xiamen Blue Ocean Ceramics Ltd.,docs@blueocean-ceramics.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000004,4,40 DRY,ONEU2600042; ONEU2610040; ONEU2620049; ONEU2630047,LED lighting components,2026-05-05T09:00:00-06:00,2026-05-08T18:00:00-06:00,2026-06-05T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,5,ONE-TT-0005,,,"EMAIL | ONE-TT-0005 | ONEYTT26000005 | Xiamen, China",2026-04-29T08:02:00-06:00,export.ops@yantian-electronics.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000005 - 5x 40 HC from Xiamen, China","Yantian Global Electronics Co., Ltd.",export.ops@yantian-electronics.cn,Sandbox Retail Distribution,"Xiamen, China factory zone","Xiamen, China",YANTIAN,"Lázaro Cárdenas, México",ONEYTT26000005,5,40 HC,ONEU2600058; ONEU2610056; ONEU2620054; ONEU2630052; ONEU2640050,Textile rolls and accessories,2026-05-06T09:00:00-06:00,2026-05-09T18:00:00-06:00,2026-06-07T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,6,ONE-TT-0006,,,"EMAIL | ONE-TT-0006 | ONEYTT26000006 | Ningbo, China",2026-04-29T08:02:30-06:00,salesops@meridian-foshan.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000006 - 1x 40 DRY from Ningbo, China",Foshan Meridian Furniture Manufacturing,salesops@meridian-foshan.cn,Sandbox Industrial Supplies,"Ningbo, China factory zone","Ningbo, China",NINGBO,PUERTO QUETZAL,ONEYTT26000006,1,40 DRY,ONEU2600063,Plastic household articles,2026-05-07T09:00:00-06:00,2026-05-10T18:00:00-06:00,2026-06-03T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,7,ONE-TT-0007,,,"EMAIL | ONE-TT-0007 | ONEYTT26000007 | Ningbo, China",2026-04-29T08:03:00-06:00,shipment@pearl-lighting.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000007 - 2x 40 DRY from Ningbo, China",Guangzhou Pearl Lighting Factory,shipment@pearl-lighting.cn,Sandbox Customer Guatemala,"Ningbo, China factory zone","Ningbo, China",NINGBO,"MANZANILLO, MEXICO",ONEYTT26000007,2,40 DRY,ONEU2600079; ONEU2610077,"Furniture parts, KD packed",2026-05-01T09:00:00-06:00,2026-05-11T18:00:00-06:00,2026-06-05T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,8,ONE-TT-0008,,,"EMAIL | ONE-TT-0008 | ONEYTT26000008 | Shekou, China",2026-04-29T08:03:30-06:00,booking@eastline-tools.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000008 - 3x 40 HC from Shekou, China","Ningbo Eastline Tools Co., Ltd.",booking@eastline-tools.cn,Sandbox Customer Mexico,"Shekou, China factory zone","Shekou, China",SHEKOU,PUERTO QUETZAL,ONEYTT26000008,3,40 HC,ONEU2600084; ONEU2610082; ONEU2620080,Machinery spare parts,2026-05-02T09:00:00-06:00,2026-05-12T18:00:00-06:00,2026-06-07T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,9,ONE-TT-0009,,,"EMAIL | ONE-TT-0009 | ONEYTT26000009 | Yantian, China",2026-04-29T08:04:00-06:00,export@brighttoys-shantou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000009 - 4x 40 HC from Yantian, China",Shantou Bright Toys Manufacturing,export@brighttoys-shantou.cn,Sandbox Customer El Salvador,"Yantian, China factory zone","Yantian, China",YANTIAN,"VERACRUZ, MEXICO",ONEYTT26000009,4,40 HC,ONEU2600090; ONEU2610098; ONEU2620096; ONEU2630094,"Auto spare parts, non-hazardous",2026-05-03T09:00:00-06:00,2026-05-04T18:00:00-06:00,2026-05-31T18:00:00-06:00,Booking por Confirmar,dry-run,
ONE-EMAIL-SEED-20260429080000,901712832326,10,ONE-TT-0010,,,"EMAIL | ONE-TT-0010 | ONEYTT26000010 | Qingdao, China",2026-04-29T08:04:30-06:00,logistics@primetextile-suzhou.cn,sandbox-shipments@mtm-logistics.test,"New ONE shipment request - ONEYTT26000010 - 5x 20GP from Qingdao, China",Suzhou Prime Textile Group,logistics@primetextile-suzhou.cn,Sandbox Automotive Imports,"Qingdao, China factory zone","Qingdao, China",QINGDAO,PUERTO SANTO TOMÁS DE CASTILLA,ONEYTT26000010,5,20GP,ONEU2600103; ONEU2610101; ONEU2620100; ONEU2630108; ONEU2640106,Household goods and retail fixtures,2026-05-04T09:00:00-06:00,2026-05-05T18:00:00-06:00,2026-06-02T18:00:00-06:00,Booking por Confirmar,dry-run,
